TEAM,ELITE SOS,YEAR
Air Force,22.8,2006
Akron,23.1,2006
Alabama,36.0,2006
Alabama A&M,3.6,2006
Alabama St.,8.2,2006
Albany,13.2,2006
Alcorn St.,10.3,2006
American,15.2,2006
Appalachian St.,14.5,2006
Arizona,38.0,2006
Arizona St.,30.4,2006
Arkansas,31.6,2006
Arkansas Little Rock,16.1,2006
Arkansas Pine Bluff,4.3,2006
Arkansas St.,20.7,2006
Army,11.4,2006
Auburn,34.3,2006
Austin Peay,13.4,2006
BYU,25.3,2006
Ball St.,22.9,2006
Baylor,40.0,2006
Belmont,8.7,2006
Bethune Cookman,4.0,2006
Binghamton,11.4,2006
Birmingham Southern,9.1,2006
Boise St.,23.3,2006
Boston College,33.3,2006
Boston University,16.5,2006
Bowling Green,25.3,2006
Bradley,32.5,2006
Brown,9.8,2006
Bucknell,17.0,2006
Buffalo,20.8,2006
Butler,23.7,2006
Cal Poly,20.8,2006
Cal St. Fullerton,14.4,2006
Cal St. Northridge,18.1,2006
California,33.5,2006
Campbell,7.2,2006
Canisius,20.7,2006
Centenary,16.4,2006
Central Connecticut,10.1,2006
Central Michigan,22.2,2006
Charleston Southern,14.9,2006
Charlotte,26.0,2006
Chattanooga,14.2,2006
Chicago St.,20.9,2006
Cincinnati,35.7,2006
Clemson,31.6,2006
Cleveland St.,22.0,2006
Coastal Carolina,11.9,2006
Colgate,11.5,2006
College of Charleston,10.0,2006
Colorado,28.4,2006
Colorado St.,26.2,2006
Columbia,9.5,2006
Connecticut,35.7,2006
Coppin St.,12.3,2006
Cornell,12.1,2006
Creighton,29.9,2006
Dartmouth,11.6,2006
Davidson,16.8,2006
Dayton,25.8,2006
DePaul,37.9,2006
Delaware,23.5,2006
Delaware St.,14.0,2006
Denver,17.8,2006
Detroit,23.5,2006
Drake,31.0,2006
Drexel,24.9,2006
Duke,38.0,2006
Duquesne,24.6,2006
East Carolina,19.8,2006
East Tennessee St.,4.4,2006
Eastern Illinois,13.9,2006
Eastern Kentucky,15.1,2006
Eastern Michigan,19.6,2006
Eastern Washington,23.0,2006
Elon,18.5,2006
Evansville,29.0,2006
FIU,21.9,2006
Fairfield,24.1,2006
Fairleigh Dickinson,13.4,2006
Florida,34.7,2006
Florida A&M,8.2,2006
Florida Atlantic,6.7,2006
Florida St.,30.2,2006
Fordham,25.6,2006
Fresno St.,25.4,2006
Furman,12.4,2006
Gardner Webb,10.6,2006
George Mason,28.2,2006
George Washington,20.0,2006
Georgetown,36.6,2006
Georgia,34.7,2006
Georgia Southern,12.9,2006
Georgia St.,25.7,2006
Georgia Tech,33.8,2006
Gonzaga,28.6,2006
Grambling St.,4.2,2006
Green Bay,21.8,2006
Hampton,0.0,2006
Hartford,10.3,2006
Harvard,10.8,2006
Hawaii,24.6,2006
High Point,13.9,2006
Hofstra,25.1,2006
Holy Cross,15.0,2006
Houston,24.4,2006
Howard,5.3,2006
IPFW,19.5,2006
IUPUI,13.5,2006
Idaho,28.3,2006
Idaho St.,17.7,2006
Illinois,32.3,2006
Illinois Chicago,22.8,2006
Illinois St.,28.8,2006
Indiana,36.9,2006
Indiana St.,30.1,2006
Iona,22.9,2006
Iowa,33.9,2006
Iowa St.,32.2,2006
Jackson St.,7.4,2006
Jacksonville,11.3,2006
Jacksonville St.,13.1,2006
James Madison,23.2,2006
Kansas,31.1,2006
Kansas St.,27.7,2006
Kennesaw St.,8.2,2006
Kent St.,22.9,2006
Kentucky,37.3,2006
LIU Brooklyn,10.4,2006
LSU,38.3,2006
