TEAM,ELITE SOS,YEAR
Arizona,38.0,2008
USC,37.0,2008
Georgia Tech,36.0,2008
California,36.0,2008
Oregon,35.0,2008
Texas,35.0,2008
Michigan,34.0,2008
Oklahoma,34.0,2008
North Carolina,34.0,2008
Stanford,34.0,2008
Duke,33.0,2008
Cincinnati,33.0,2008
Oklahoma St.,33.0,2008
Illinois,33.0,2008
Washington St.,33.0,2008
UCLA,33.0,2008
Michigan St.,32.0,2008
Washington,32.0,2008
N.C. State,32.0,2008
DePaul,32.0,2008
Missouri,32.0,2008
Pittsburgh,32.0,2008
Kansas,32.0,2008
Colorado,32.0,2008
Texas Tech,32.0,2008
Providence,32.0,2008
Louisville,32.0,2008
Kansas St.,32.0,2008
Tennessee,31.0,2008
Clemson,31.0,2008
Florida St.,31.0,2008
Texas A&M,31.0,2008
Villanova,31.0,2008
Marquette,31.0,2008
Iowa St.,31.0,2008
St. John's,31.0,2008
Oregon St.,31.0,2008
Boston College,31.0,2008
Georgetown,31.0,2008
Arizona St.,31.0,2008
Ohio St.,31.0,2008
Northwestern,31.0,2008
West Virginia,30.0,2008
Nebraska,30.0,2008
Purdue,29.0,2008
Maryland,29.0,2008
Wisconsin,29.0,2008
Baylor,29.0,2008
Notre Dame,29.0,2008
Rutgers,29.0,2008
Connecticut,29.0,2008
Miami FL,29.0,2008
Penn St.,29.0,2008
Georgia,28.0,2008
Wake Forest,28.0,2008
Kentucky,28.0,2008
Virginia,28.0,2008
Indiana,28.0,2008
Syracuse,28.0,2008
Virginia Tech,28.0,2008
Arkansas,28.0,2008
Minnesota,27.0,2008
Iowa,27.0,2008
South Carolina,27.0,2008
Seton Hall,27.0,2008
South Florida,26.0,2008
Xavier,26.0,2008
LSU,26.0,2008
Memphis,26.0,2008
Mississippi St.,26.0,2008
Miami OH,26.0,2008
Alabama,25.0,2008
Southern Illinois,25.0,2008
Mississippi,25.0,2008
George Washington,25.0,2008
Indiana St.,25.0,2008
Presbyterian,24.0,2008
Saint Joseph's,24.0,2008
Auburn,24.0,2008
Utah,24.0,2008
Charlotte,23.0,2008
Vanderbilt,23.0,2008
North Carolina Central,23.0,2008
Creighton,23.0,2008
Fordham,23.0,2008
Bradley,23.0,2008
Dayton,23.0,2008
Temple,23.0,2008
Massachusetts,23.0,2008
Florida,23.0,2008
Davidson,23.0,2008
Gonzaga,22.0,2008
Missouri St.,22.0,2008
UNLV,22.0,2008
Colorado St.,22.0,2008
UTEP,22.0,2008
Rice,22.0,2008
Southern Miss,22.0,2008
San Diego St.,22.0,2008
BYU,22.0,2008
Saint Louis,21.0,2008
Richmond,21.0,2008
Green Bay,21.0,2008
San Diego,21.0,2008
Tulsa,21.0,2008
UAB,21.0,2008
Wichita St.,21.0,2008
Drake,21.0,2008
Toledo,20.0,2008
Evansville,20.0,2008
Purdue Fort Wayne,20.0,2008
Duquesne,20.0,2008
Illinois St.,20.0,2008
Northern Iowa,20.0,2008
TCU,20.0,2008
Old Dominion,20.0,2008
Youngstown St.,20.0,2008
La Salle,20.0,2008
Tulane,20.0,2008
UCF,20.0,2008
Pepperdine,20.0,2008
Valparaiso,19.0,2008
Rhode Island,19.0,2008
Chicago St.,19.0,2008
Air Force,19.0,2008
St. Bonaventure,19.0,2008
Ohio,19.0,2008
Milwaukee,19.0,2008
Wofford,19.0,2008
New Mexico,19.0,2008
Marshall,19.0,2008
Cleveland St.,19.0,2008
New Mexico St.,18.0,2008
Wyoming,18.0,2008
Houston,18.0,2008
Kent St.,18.0,2008
SMU,18.0,2008
Illinois Chicago,18.0,2008
Louisiana Monroe,18.0,2008
Northeastern,18.0,2008
Butler,18.0,2008
Ball St.,18.0,2008
Santa Clara,18.0,2008
Saint Mary's,18.0,2008
UNC Greensboro,18.0,2008
East Carolina,17.0,2008
Northern Illinois,17.0,2008
San Francisco,17.0,2008
Detroit Mercy,17.0,2008
Oral Roberts,17.0,2008
Nicholls St.,17.0,2008
Elon,17.0,2008
Central Michigan,17.0,2008
Buffalo,17.0,2008
Loyola Marymount,17.0,2008
Akron,16.0,2008
Loyola Chicago,16.0,2008
Middle Tennessee,16.0,2008
Eastern Washington,16.0,2008
Western Kentucky,16.0,2008
Western Carolina,16.0,2008
Nevada,16.0,2008
Charleston,16.0,2008
Winthrop,16.0,2008
Savannah St.,16.0,2008
Western Michigan,16.0,2008
Idaho,16.0,2008
Yale,16.0,2008
UMKC,16.0,2008
Chattanooga,16.0,2008
Sacramento St.,16.0,2008
Idaho St.,16.0,2008
Wright St.,16.0,2008
Bowling Green,15.0,2008
Western Illinois,15.0,2008
UC Riverside,15.0,2008
VCU,15.0,2008
The Citadel,15.0,2008
Iona,15.0,2008
Portland St.,15.0,2008
Oakland,15.0,2008
Furman,15.0,2008
Siena,15.0,2008
Centenary,15.0,2008
Coppin St.,15.0,2008
Florida A&M,15.0,2008
Fresno St.,15.0,2008
Eastern Michigan,15.0,2008
Portland,15.0,2008
FIU,15.0,2008
Georgia Southern,15.0,2008
