TEAM,YEAR,EXP,AVG HGT,EFF HGT,roster_size
Alabama,2003,,,,
Arizona,2003,,,,
Arizona St.,2003,,,,
Auburn,2003,,,,
Austin Peay,2003,,,,
BYU,2003,,,,
Butler,2003,,,,
California,2003,,,,
Central Michigan,2003,,,,
Cincinnati,2003,,,,
Colorado,2003,,,,
Colorado St.,2003,,,,
Connecticut,2003,,,,
Creighton,2003,,,,
Dayton,2003,,,,
Duke,2003,,,,
East Tennessee St.,2003,,,,
Florida,2003,,,,
Gonzaga,2003,,,,
Holy Cross,2003,,,,
IUPUI,2003,,,,
Illinois,2003,,,,
Indiana,2003,,,,
Kansas,2003,,,,
Kentucky,2003,,,,
LSU,2003,,,,
Louisville,2003,,,,
Manhattan,2003,,,,
Marquette,2003,,,,
Maryland,2003,,,,
Memphis,2003,,,,
Michigan St.,2003,,,,
Milwaukee,2003,,,,
Mississippi St.,2003,,,,
Missouri,2003,,,,
N.C. State,2003,,,,
Notre Dame,2003,,,,
Oklahoma,2003,,,,
Oklahoma St.,2003,,,,
Oregon,2003,,,,
Penn,2003,,,,
Pittsburgh,2003,,,,
Purdue,2003,,,,
Saint Joseph's,2003,,,,
Sam Houston St.,2003,,,,
San Diego,2003,,,,
South Carolina St.,2003,,,,
Southern Illinois,2003,,,,
Stanford,2003,,,,
Syracuse,2003,,,,
Texas,2003,,,,
Texas Southern,2003,,,,
Air Force,2003,,,,
Akron,2003,,,,
Alabama A&M,2003,,,,
Alabama St.,2003,,,,
Albany,2003,,,,
Alcorn St.,2003,,,,
American,2003,,,,
Appalachian St.,2003,,,,
Arkansas,2003,,,,
Arkansas Little Rock,2003,,,,
Arkansas Pine Bluff,2003,,,,
Arkansas St.,2003,,,,
Army,2003,,,,
Ball St.,2003,,,,
Baylor,2003,,,,
Belmont,2003,,,,
Bethune Cookman,2003,,,,
Binghamton,2003,,,,
Birmingham Southern,2003,,,,
Boise St.,2003,,,,
Boston College,2003,1.231,77.4,80.8,13.0
Boston University,2003,,,,
Bowling Green,2003,,,,
Bradley,2003,,,,
Brown,2003,,,,
Bucknell,2003,,,,
Buffalo,2003,,,,
Cal Poly,2003,,,,
Cal St. Fullerton,2003,,,,
Cal St. Northridge,2003,,,,
Campbell,2003,,,,
Canisius,2003,,,,
Centenary,2003,,,,
Central Connecticut,2003,,,,
Charleston Southern,2003,,,,
Charlotte,2003,,,,
Chattanooga,2003,,,,
Chicago St.,2003,,,,
Clemson,2003,,,,
Cleveland St.,2003,,,,
Coastal Carolina,2003,,,,
Colgate,2003,,,,
College of Charleston,2003,,,,
Columbia,2003,,,,
Coppin St.,2003,,,,
Cornell,2003,,,,
Dartmouth,2003,,,,
Davidson,2003,,,,
DePaul,2003,,,,
Delaware,2003,,,,
Delaware St.,2003,,,,
Denver,2003,,,,
Detroit,2003,,,,
Drake,2003,,,,
Drexel,2003,,,,
Duquesne,2003,,,,
East Carolina,2003,,,,
Eastern Illinois,2003,,,,
Eastern Kentucky,2003,,,,
Eastern Michigan,2003,,,,
Eastern Washington,2003,,,,
Elon,2003,,,,
Evansville,2003,,,,
FIU,2003,,,,
Fairfield,2003,,,,
Fairleigh Dickinson,2003,,,,
Florida A&M,2003,,,,
Florida Atlantic,2003,,,,
Florida St.,2003,,,,
Fordham,2003,,,,
Fresno St.,2003,,,,
Furman,2003,,,,
Gardner Webb,2003,,,,
George Mason,2003,,,,
George Washington,2003,,,,
Georgetown,2003,,,,
Georgia,2003,1.235,76.5,78.7,17.0
Georgia Southern,2003,,,,
Georgia St.,2003,,,,
Georgia Tech,2003,,,,
Grambling St.,2003,,,,
Green Bay,2003,,,,
Hampton,2003,,,,
Hartford,2003,,,,
Harvard,2003,,,,
Hawaii,2003,,,,
High Point,2003,,,,
Hofstra,2003,,,,
Houston,2003,,,,
Howard,2003,,,,
IPFW,2003,,,,
Idaho,2003,,,,
Idaho St.,2003,,,,
Illinois Chicago,2003,,,,
Illinois St.,2003,,,,
Indiana St.,2003,,,,
Iona,2003,,,,
Iowa,2003,,,,
Iowa St.,2003,,,,
Jackson St.,2003,,,,
Jacksonville,2003,,,,
Jacksonville St.,2003,,,,
James Madison,2003,,,,
Kansas St.,2003,,,,
Kent St.,2003,,,,
LIU Brooklyn,2003,,,,
La Salle,2003,,,,
Lafayette,2003,,,,
Lamar,2003,,,,
Lehigh,2003,,,,
Liberty,2003,,,,
Lipscomb,2003,,,,
Long Beach St.,2003,,,,
Louisiana Lafayette,2003,,,,
Louisiana Monroe,2003,,,,
Louisiana Tech,2003,,,,
Loyola Chicago,2003,,,,
Loyola MD,2003,,,,
Loyola Marymount,2003,,,,
Maine,2003,,,,
Marist,2003,,,,
Marshall,2003,,,,
Maryland Eastern Shore,2003,,,,
Massachusetts,2003,,,,
McNeese St.,2003,,,,
Mercer,2003,,,,
Miami FL,2003,,,,
