TEAM,TALENT_SCORE,TALENT_RANK,YEAR
Kentucky,70.55,1,2009
North Carolina,69.0,2,2009
Texas,68.82,3,2009
Villanova,68.51,4,2009
UCLA,66.37,5,2009
Arizona,65.16,6,2009
Kansas,64.83,7,2009
Connecticut,64.54,8,2009
Florida State,63.19,9,2009
Minnesota,62.88,10,2009
Georgia Tech,62.79,11,2009
Marquette,62.71,12,2009
Oklahoma,62.6,13,2009
Miami,62.46,14,2009
Clemson,61.2,15,2009
Alabama,56.72,16,2009
N.C. State,55.1,17,2009
Indiana,54.42,18,2009
Oregon,52.63,19,2009
Duke,52.55,20,2009
Iowa State,52.14,21,2009
Mississippi State,51.57,22,2009
Louisville,46.57,23,2009
Oklahoma State,45.8,24,2009
Arkansas,44.34,25,2009
Pittsburgh,43.67,26,2009
Washington,41.53,27,2009
Ole Miss,41.34,28,2009
Illinois,41.15,29,2009
Illinois State,40.82,30,2009
Kansas State,40.78,31,2009
Nebraska,40.59,32,2009
Charlotte,40.27,33,2009
Michigan,40.13,34,2009
Auburn,38.41,35,2009
Oregon State,38.34,36,2009
Virginia Tech,38.29,37,2009
West Virginia,38.29,37,2009
Marshall,37.95,39,2009
St. Mary's,37.84,40,2009
Western Kentucky,37.75,41,2009
Michigan State,36.97,42,2009
Southern Miss,36.1,43,2009
Missouri,34.86,44,2009
Cincinnati,34.42,45,2009
Valparaiso,34.06,46,2009
San Diego,33.52,47,2009
South Alabama,33.39,48,2009
Wake Forest,32.84,49,2009
Bowling Green,32.84,49,2009
UAB,32.74,51,2009
Central Michigan,32.01,52,2009
Arkansas State,31.8,53,2009
Cal State Fullerton,31.33,54,2009
Saint Francis (PA),31.29,55,2009
Lipscomb,31.09,56,2009
UCF,30.52,57,2009
St. John's,30.28,58,2009
South Carolina State,30.14,59,2009
Northern Colorado,29.96,60,2009
Florida,29.56,61,2009
Middle Tennessee State,29.43,62,2009
Vanderbilt,29.01,63,2009
Liberty,29.01,63,2009
USF,28.96,65,2009
Texas Tech,28.89,66,2009
Jackson State,28.47,67,2009
La Salle,28.37,68,2009
Western Michigan,28.36,69,2009
Akron,28.18,70,2009
Louisiana-Monroe,28.03,71,2009
Texas-San Antonio,28.01,72,2009
Cleveland State,27.97,73,2009
Tennessee,27.55,74,2009
San Diego State,27.15,75,2009
Lehigh,26.78,76,2009
South Dakota,26.53,77,2009
Wright State,26.11,78,2009
Northern Iowa,25.96,79,2009
Kent State,25.92,80,2009
North Dakota State,25.51,81,2009
New Mexico State,25.51,81,2009
Army,25.13,83,2009
Seattle,24.73,84,2009
Pacific,24.66,85,2009
Sacramento State,24.65,86,2009
Weber State,24.59,87,2009
Wisconsin-Green Bay,24.55,88,2009
Sam Houston State,24.54,89,2009
Tennessee Tech,23.86,90,2009
Long Beach State,23.66,91,2009
American,23.65,92,2009
Oral Roberts,23.65,92,2009
Western Illinois,23.32,94,2009
Marist,23.17,95,2009
UC Irvine,22.35,96,2009
Dartmouth,22.32,97,2009
Xavier,22.19,98,2009
Brown,22.07,99,2009
Cornell,22.04,100,2009
George Mason,21.92,101,2009
Georgia,21.86,102,2009
Denver,21.76,103,2009
Alabama A&M,21.72,104,2009
Binghamton,21.41,105,2009
Buffalo,21.01,106,2009
IPFW,20.89,107,2009
Air Force,20.86,108,2009
Northern Arizona,20.79,109,2009
Illinois Chicago,20.79,109,2009
Prairie View A&M,20.79,109,2009
Rider,20.7,112,2009
Hofstra,20.63,113,2009
South Carolina,20.59,114,2009
Detroit,20.35,115,2009
Mississippi Valley State,20.31,116,2009
Tennessee State,20.28,117,2009
Idaho State,20.27,118,2009
TCU,20.24,119,2009
Florida Gulf Coast,20.07,120,2009
North Texas,19.96,121,2009
Siena,19.3,122,2009
Alcorn State,19.13,123,2009
Rice,19.09,124,2009
James Madison,18.98,125,2009
Howard,18.97,126,2009
Baylor,18.79,127,2009
Portland State,18.64,128,2009
St. Francis (NY),18.6,129,2009
Murray State,18.46,130,2009
North Dakota,18.29,131,2009
Virginia,18.21,132,2009
Colorado,18.18,133,2009
Maryland,18.05,134,2009
Missouri State,17.96,135,2009
Utah,17.33,136,2009
Iowa,16.84,137,2009
Arizona State,16.79,138,2009
UNLV,16.73,139,2009
Mount St. Mary's,16.16,140,2009
Lamar,15.86,141,2009
Northwestern State,15.86,141,2009
FIU,15.84,143,2009
Central Arkansas,15.84,143,2009
Eastern Washington,15.77,145,2009
Navy,15.72,146,2009
Stephen F. Austin,15.72,146,2009
Mercer,15.65,148,2009
Radford,15.65,148,2009
Bryant University,15.65,148,2009
Morehead State,15.65,148,2009
Dayton,15.56,152,2009
Gonzaga,15.52,153,2009
Bradley,15.36,154,2009
Brigham Young,15.24,155,2009
Loyola (MD),15.21,156,2009
Niagara,15.12,157,2009
Fordham,15.05,158,2009
Quinnipiac,14.98,159,2009
Montana State,14.92,160,2009
SMU,14.75,161,2009
Cal State Northridge,14.75,161,2009
Coastal Carolina,14.75,161,2009
Florida A&M,14.75,161,2009
Maryland Eastern Shore,14.75,161,2009
